experiment,stage,feature_group,model_name,group,status,error_type,error_message,test_accuracy_mean,test_accuracy_std,train_accuracy_mean,train_accuracy_std,test_precision_mean,test_precision_std,train_precision_mean,train_precision_std,test_recall_mean,test_recall_std,train_recall_mean,train_recall_std,test_f1_mean,test_f1_std,train_f1_mean,train_f1_std,fit_time_mean,score_time_mean,notes
baseline__raw__logreg,baseline,raw,logreg,baseline__raw,success,,,0.786,0.018,0.803,0.005,0.736,0.036,0.762,0.011,0.693,0.038,0.708,0.015,0.713,0.026,0.734,0.008,0.02,0.017,"Base logistic regression, using raw configuration. Baseline for comparison."
baseline__raw__knn,baseline,raw,knn,baseline__raw,success,,,0.809,0.021,0.861,0.01,0.775,0.044,0.843,0.013,0.713,0.038,0.783,0.019,0.742,0.026,0.812,0.015,0.019,0.024,"Base kneighbors classifier, using raw configuration. Baseline for comparison."
baseline__raw__svc,baseline,raw,svc,baseline__raw,success,,,0.827,0.015,0.834,0.006,0.813,0.029,0.819,0.01,0.716,0.045,0.729,0.015,0.76,0.026,0.771,0.009,0.029,0.024,"Base SVC, using raw configuration. Baseline for comparison."
baseline__raw__decision_tree,baseline,raw,decision_tree,baseline__raw,success,,,0.803,0.023,0.832,0.005,0.828,0.03,0.877,0.046,0.617,0.093,0.659,0.05,0.702,0.055,0.749,0.017,0.018,0.022,"Base decision tree, using raw configuration. Baseline for comparison."
baseline__raw__random_forest,baseline,raw,random_forest,baseline__raw,success,,,0.822,0.02,0.85,0.007,0.824,0.02,0.873,0.016,0.681,0.062,0.714,0.015,0.744,0.041,0.785,0.011,0.367,0.061,"Base random forest, using raw configuration. Baseline for comparison."
baseline__raw__extra_trees,baseline,raw,extra_trees,baseline__raw,success,,,0.804,0.012,0.813,0.004,0.791,0.009,0.806,0.012,0.664,0.041,0.675,0.013,0.721,0.025,0.735,0.006,0.257,0.058,"Base extra trees, using raw configuration. Baseline for comparison."
baseline__raw__xgb,baseline,raw,xgb,baseline__raw,success,,,0.826,0.025,0.885,0.004,0.811,0.033,0.895,0.01,0.713,0.06,0.793,0.006,0.758,0.041,0.841,0.005,0.056,0.019,"Base xgb, using raw configuration. Baseline for comparison."
fe01__family__logreg,fe01,family,logreg,fe01__family,success,,,0.795,0.016,0.806,0.005,0.755,0.038,0.766,0.007,0.693,0.038,0.711,0.012,0.721,0.021,0.738,0.008,0.023,0.019,Feature engineering 01: replaces SibSp/Parch with FamilySize and IsAlone.
fe01__family__knn,fe01,family,knn,fe01__family,success,,,0.805,0.027,0.862,0.008,0.767,0.052,0.842,0.014,0.711,0.037,0.789,0.011,0.737,0.032,0.815,0.01,0.019,0.032,Feature engineering 01: replaces SibSp/Parch with FamilySize and IsAlone.
fe01__family__svc,fe01,family,svc,fe01__family,success,,,0.826,0.026,0.834,0.008,0.815,0.036,0.827,0.012,0.707,0.058,0.716,0.018,0.756,0.042,0.768,0.012,0.027,0.025,Feature engineering 01: replaces SibSp/Parch with FamilySize and IsAlone.
fe01__family__decision_tree,fe01,family,decision_tree,fe01__family,success,,,0.806,0.021,0.832,0.004,0.82,0.032,0.859,0.046,0.64,0.1,0.681,0.043,0.712,0.056,0.757,0.011,0.012,0.018,Feature engineering 01: replaces SibSp/Parch with FamilySize and IsAlone.
fe01__family__random_forest,fe01,family,random_forest,fe01__family,success,,,0.816,0.015,0.852,0.006,0.817,0.015,0.871,0.015,0.672,0.065,0.72,0.007,0.735,0.038,0.788,0.008,0.372,0.067,Feature engineering 01: replaces SibSp/Parch with FamilySize and IsAlone.
fe01__family__extra_trees,fe01,family,extra_trees,fe01__family,success,,,0.806,0.004,0.813,0.004,0.793,0.025,0.803,0.008,0.672,0.045,0.681,0.013,0.726,0.018,0.737,0.008,0.304,0.084,Feature engineering 01: replaces SibSp/Parch with FamilySize and IsAlone.
fe01__family__xgb,fe01,family,xgb,fe01__family,success,,,0.826,0.026,0.885,0.007,0.817,0.042,0.895,0.008,0.707,0.065,0.795,0.012,0.756,0.044,0.842,0.009,0.058,0.017,Feature engineering 01: replaces SibSp/Parch with FamilySize and IsAlone.
fe02__has_cabin__logreg,fe02,has_cabin,logreg,fe02__has_cabin,success,,,0.791,0.013,0.803,0.005,0.737,0.024,0.755,0.005,0.71,0.04,0.721,0.017,0.723,0.023,0.738,0.01,0.016,0.017,"Feature engineering 02: adds Has_Cabin feature, which indicates whether the passenger had a known cabin or not. This is a simple binary feature that attempts to check if the missingess is a signal in itself."
fe02__has_cabin__knn,fe02,has_cabin,knn,fe02__has_cabin,success,,,0.809,0.026,0.86,0.01,0.775,0.055,0.835,0.009,0.716,0.034,0.791,0.025,0.743,0.028,0.812,0.016,0.018,0.028,"Feature engineering 02: adds Has_Cabin feature, which indicates whether the passenger had a known cabin or not. This is a simple binary feature that attempts to check if the missingess is a signal in itself."
fe02__has_cabin__svc,fe02,has_cabin,svc,fe02__has_cabin,success,,,0.825,0.017,0.834,0.005,0.811,0.031,0.817,0.008,0.71,0.045,0.73,0.016,0.756,0.028,0.771,0.009,0.031,0.025,"Feature engineering 02: adds Has_Cabin feature, which indicates whether the passenger had a known cabin or not. This is a simple binary feature that attempts to check if the missingess is a signal in itself."
fe02__has_cabin__decision_tree,fe02,has_cabin,decision_tree,fe02__has_cabin,success,,,0.8,0.024,0.832,0.004,0.819,0.036,0.876,0.043,0.62,0.094,0.661,0.051,0.701,0.057,0.751,0.017,0.02,0.021,"Feature engineering 02: adds Has_Cabin feature, which indicates whether the passenger had a known cabin or not. This is a simple binary feature that attempts to check if the missingess is a signal in itself."
fe02__has_cabin__random_forest,fe02,has_cabin,random_forest,fe02__has_cabin,success,,,0.818,0.015,0.854,0.009,0.821,0.025,0.871,0.019,0.675,0.061,0.727,0.014,0.739,0.035,0.792,0.012,0.408,0.07,"Feature engineering 02: adds Has_Cabin feature, which indicates whether the passenger had a known cabin or not. This is a simple binary feature that attempts to check if the missingess is a signal in itself."
fe02__has_cabin__extra_trees,fe02,has_cabin,extra_trees,fe02__has_cabin,success,,,0.807,0.009,0.819,0.005,0.791,0.018,0.809,0.01,0.678,0.05,0.692,0.009,0.729,0.025,0.746,0.007,0.306,0.065,"Feature engineering 02: adds Has_Cabin feature, which indicates whether the passenger had a known cabin or not. This is a simple binary feature that attempts to check if the missingess is a signal in itself."
fe02__has_cabin__xgb,fe02,has_cabin,xgb,fe02__has_cabin,success,,,0.822,0.03,0.879,0.004,0.803,0.042,0.886,0.007,0.71,0.066,0.787,0.008,0.752,0.046,0.833,0.006,0.065,0.018,"Feature engineering 02: adds Has_Cabin feature, which indicates whether the passenger had a known cabin or not. This is a simple binary feature that attempts to check if the missingess is a signal in itself."
fe03__deck__logreg,fe03,deck,logreg,fe03__deck,success,,,0.791,0.012,0.815,0.005,0.739,0.028,0.774,0.01,0.708,0.032,0.734,0.01,0.722,0.017,0.753,0.007,0.024,0.017,"Feature engineering 03: adds Deck feature, which indicates the deck level of the passenger's cabin. This is a categorical feature that can be a signal for survival."
fe03__deck__knn,fe03,deck,knn,fe03__deck,success,,,0.818,0.019,0.858,0.008,0.791,0.045,0.834,0.011,0.722,0.057,0.787,0.018,0.752,0.028,0.81,0.013,0.02,0.021,"Feature engineering 03: adds Deck feature, which indicates the deck level of the passenger's cabin. This is a categorical feature that can be a signal for survival."
fe03__deck__svc,fe03,deck,svc,fe03__deck,success,,,0.825,0.018,0.836,0.007,0.808,0.034,0.818,0.01,0.716,0.053,0.738,0.014,0.757,0.032,0.776,0.011,0.041,0.032,"Feature engineering 03: adds Deck feature, which indicates the deck level of the passenger's cabin. This is a categorical feature that can be a signal for survival."
fe03__deck__decision_tree,fe03,deck,decision_tree,fe03__deck,success,,,0.8,0.024,0.832,0.004,0.819,0.036,0.876,0.043,0.62,0.094,0.661,0.051,0.701,0.057,0.751,0.017,0.021,0.021,"Feature engineering 03: adds Deck feature, which indicates the deck level of the passenger's cabin. This is a categorical feature that can be a signal for survival."
fe03__deck__random_forest,fe03,deck,random_forest,fe03__deck,success,,,0.813,0.015,0.849,0.008,0.805,0.027,0.858,0.013,0.678,0.055,0.727,0.018,0.734,0.032,0.787,0.013,0.327,0.058,"Feature engineering 03: adds Deck feature, which indicates the deck level of the passenger's cabin. This is a categorical feature that can be a signal for survival."
fe03__deck__extra_trees,fe03,deck,extra_trees,fe03__deck,success,,,0.799,0.015,0.822,0.006,0.775,0.021,0.805,0.009,0.672,0.044,0.709,0.011,0.719,0.028,0.754,0.009,0.263,0.063,"Feature engineering 03: adds Deck feature, which indicates the deck level of the passenger's cabin. This is a categorical feature that can be a signal for survival."
fe03__deck__xgb,fe03,deck,xgb,fe03__deck,success,,,0.822,0.029,0.882,0.004,0.804,0.036,0.893,0.009,0.707,0.07,0.788,0.011,0.751,0.049,0.837,0.006,0.236,0.02,"Feature engineering 03: adds Deck feature, which indicates the deck level of the passenger's cabin. This is a categorical feature that can be a signal for survival."
fe04__cabin_features__logreg,fe04,cabin_features,logreg,fe04__cabin_features,success,,,0.791,0.013,0.815,0.006,0.737,0.032,0.772,0.012,0.713,0.026,0.735,0.011,0.724,0.015,0.753,0.007,0.033,0.021,"Feature engineering 04: adds both Has_Cabin and Deck features, which indicate the presence of a cabin and its level, respectively."
fe04__cabin_features__knn,fe04,cabin_features,knn,fe04__cabin_features,success,,,0.817,0.021,0.858,0.01,0.787,0.05,0.828,0.011,0.725,0.05,0.796,0.021,0.752,0.027,0.811,0.014,0.029,0.474,"Feature engineering 04: adds both Has_Cabin and Deck features, which indicate the presence of a cabin and its level, respectively."
fe04__cabin_features__svc,fe04,cabin_features,svc,fe04__cabin_features,success,,,0.825,0.018,0.837,0.007,0.808,0.034,0.818,0.01,0.716,0.053,0.74,0.014,0.757,0.032,0.777,0.011,0.041,0.031,"Feature engineering 04: adds both Has_Cabin and Deck features, which indicate the presence of a cabin and its level, respectively."
fe04__cabin_features__decision_tree,fe04,cabin_features,decision_tree,fe04__cabin_features,success,,,0.8,0.024,0.832,0.004,0.819,0.036,0.876,0.043,0.62,0.094,0.661,0.051,0.701,0.057,0.751,0.017,0.024,0.021,"Feature engineering 04: adds both Has_Cabin and Deck features, which indicate the presence of a cabin and its level, respectively."
fe04__cabin_features__random_forest,fe04,cabin_features,random_forest,fe04__cabin_features,success,,,0.808,0.008,0.853,0.009,0.803,0.029,0.867,0.017,0.667,0.05,0.73,0.014,0.726,0.023,0.793,0.013,0.494,0.079,"Feature engineering 04: adds both Has_Cabin and Deck features, which indicate the presence of a cabin and its level, respectively."
fe04__cabin_features__extra_trees,fe04,cabin_features,extra_trees,fe04__cabin_features,success,,,0.805,0.015,0.828,0.007,0.781,0.019,0.809,0.009,0.684,0.052,0.723,0.014,0.728,0.03,0.763,0.01,0.385,0.088,"Feature engineering 04: adds both Has_Cabin and Deck features, which indicate the presence of a cabin and its level, respectively."
fe04__cabin_features__xgb,fe04,cabin_features,xgb,fe04__cabin_features,success,,,0.832,0.031,0.884,0.001,0.817,0.042,0.894,0.008,0.725,0.066,0.791,0.009,0.767,0.048,0.839,0.002,0.569,0.025,"Feature engineering 04: adds both Has_Cabin and Deck features, which indicate the presence of a cabin and its level, respectively."
